ku_id,type,canonical_name,name_en,source_task,created,updated,card_path
units/archives/burlington-magazine,archive,《伯灵顿杂志》,The Burlington Magazine,front-matter,2026-09-14,2026-09-14,04-knowledge/units/archives/burlington-magazine.md
units/archives/camassei-sebastian-receipt,archive,卡马塞伊圣塞巴斯蒂安祭坛画付款令刊录,Published Payment Order for Camassei’s Saint Sebastian Altarpiece,,2026-09-09,2026-09-14,04-knowledge/units/archives/camassei-sebastian-receipt.md
units/archives/camassei-urban-contract-1633,archive,卡马塞伊与乌尔班八世的合同（1633）,Contract between Camassei and Urban VIII (1633),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/camassei-urban-contract-1633.md
units/archives/caravaggio-altarpieces-contract-1600,archive,卡拉瓦乔两幅祭坛画的合同（1600）,Contract for Caravaggio's Two Altarpieces (1600),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/caravaggio-altarpieces-contract-1600.md
units/archives/cellini-autobiography,archive,本韦努托·切利尼自传《生平》,The Life of Benvenuto Cellini,chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/cellini-autobiography.md
units/archives/coke-arundell-letter-1620,archive,托马斯·科克致托马斯·霍华德，阿伦德尔伯爵信（1620年10月8日）,"Letter from Thomas Coke to Thomas Howard, Earl of Arundel, 8 October 1620",,2026-09-09,2026-09-14,04-knowledge/units/archives/coke-arundell-letter-1620.md
units/archives/colnaghi-catalogue-1961,archive,科尔纳吉图录（1961 年 5–6 月，第 2 号）,"Colnaghi Catalogue (May–June 1961, no. 2)",chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/colnaghi-catalogue-1961.md
units/archives/conforti-legros-designers-1977,archive,皮埃尔·勒格罗与晚期巴洛克罗马雕塑家的设计师角色,Pierre Legros and the role of Sculptors as Designers in late Baroque Rome,front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/conforti-legros-designers-1977.md
units/archives/de-rosis-ruffo-letter-1663,archive,朱塞佩·德·罗西斯致安东尼奥·鲁福的信（1663-09-22）,Letter from Giuseppe de Rosis to Antonio Ruffo (1663-09-22),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/de-rosis-ruffo-letter-1663.md
units/archives/dizionario-biografico-degli-italiani,archive,意大利人传记辞典,Dizionario biografico degli Italiani,,2026-09-14,2026-09-15,04-knowledge/units/archives/dizionario-biografico-degli-italiani.md
units/archives/ferri-ruffo-letter-1672,archive,奇罗·费里致安东尼奥·鲁福的信（1672-09-19）,Letter from Ciro Ferri to Antonio Ruffo (1672-09-19),,2026-09-09,2026-09-14,04-knowledge/units/archives/ferri-ruffo-letter-1672.md
units/archives/gavasetti-piacenza-contract-1624,archive,加瓦塞蒂皮亚琴察壁画委托条款（1624）,Terms for Gavasetti's Piacenza Frescoes (1624),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/gavasetti-piacenza-contract-1624.md
units/archives/gerusalemme-liberata-illustrations-1745,archive,《耶路撒冷解放》插图本（1745）,"Jerusalem Delivered, illustrated edition, 1745",front-matter,2026-09-14,2026-09-14,04-knowledge/units/archives/gerusalemme-liberata-illustrations-1745.md
units/archives/gessi-leopardi-letter-1647,archive,贝尔林杰罗·杰西致切萨雷·莱奥帕尔迪·多西莫的信（1647-07-10）,Letter from Berlingero Gessi to Don Cesare Leopardi d’Osimo (1647-07-10),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/gessi-leopardi-letter-1647.md
units/archives/gilmartin-san-clemente-1974,archive,克勉十一世为罗马圣克莱孟圣殿委托的绘画,The Paintings Commissioned by Pope Clement XI for the Basilica of San Clemente in Rome,,,,04-knowledge/units/archives/gilmartin-san-clemente-1974.md
units/archives/gini-cortona-letter-1666,archive,奥诺拉托·吉尼关于科尔托纳选题的信（1666）,Onorato Gini’s Letter on Cortona’s Choice of Subjects (1666),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/gini-cortona-letter-1666.md
units/archives/giovanni-adamo-piola-letter-1690,archive,列支敦士登亲王约翰·亚当·安德烈亚斯致保罗·吉罗拉莫·皮奥拉的委托信（1690-02-03）,Commission Letter from Johann Adam Andreas of Liechtenstein to Paolo Girolamo Piola (1690-02-03),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/giovanni-adamo-piola-letter-1690.md
units/archives/goldoni-opere-vol-2-1761,archive,戈尔多尼《喜剧集》第二卷（帕斯夸利版，标年1761）,"The Comedies of Carlo Goldoni, vol. 2, Pasquali edition, dated 1761",front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/goldoni-opere-vol-2-1761.md
units/archives/grassi-cortona-bozzetti-1957,archive,格拉西关于科尔托纳与多利亚潘菲利宫画廊草稿的论文（1957）,Grassi's Article on Cortona and the Bozzetti for the Doria Pamphili Gallery (1957),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/grassi-cortona-bozzetti-1957.md
units/archives/guercino-ruffo-letter-1649,archive,圭尔奇诺致安东尼奥·鲁福的信（1649-09-25）,Letter from Guercino to Antonio Ruffo (1649-09-25),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/guercino-ruffo-letter-1649.md
units/archives/harris-andrea-sacchi-1977,archive,安德烈亚·萨基,"Andrea Sacchi, Harris 1977",front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/harris-andrea-sacchi-1977.md
units/archives/honour-patrons-painters-review-1963,archive,休·昂纳1963年评论赞助人与画家的书评,Hugh Honour's 1963 review of Patrons and Painters,front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/honour-patrons-painters-review-1963.md
units/archives/lanfranco-barberini-letter-1640,archive,乔万尼·兰弗兰科致巴贝里尼枢机的信（1640-07-14）,Letter from Giovanni Lanfranco to Cardinal Barberini (1640-07-14),,2026-09-09,2026-09-14,04-knowledge/units/archives/lanfranco-barberini-letter-1640.md
units/archives/lhoggidi-1627,archive,《当今》（1627）,L'Hoggidi (1627),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/lhoggidi-1627.md
units/archives/minnitti-augusta-terms-1617,archive,明尼蒂在奥古斯塔的委托条款刊录（1617）,Published Terms for Minnitti's Augusta Commission (1617),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/minnitti-augusta-terms-1617.md
units/archives/mola-borrowed-genealogy-gods,archive,莫拉借阅的神谱书（题名未明）,Genealogy of the Gods Borrowed by Mola (title unidentified),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/mola-borrowed-genealogy-gods.md
units/archives/mola-borrowed-virgil-commentary,archive,莫拉借阅的维吉尔注释本（版本未明）,Annotated Virgil Borrowed by Mola (edition unidentified),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/mola-borrowed-virgil-commentary.md
units/archives/mola-pamfili-contract-1657,archive,莫拉与潘菲利瓦尔蒙托内工程的合同条款（1657）,Contract Terms for Mola and Pamfili's Valmontone Project (1657),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/mola-pamfili-contract-1657.md
units/archives/montaiglon-academy-correspondence,archive,罗马法国学院主管与王室建筑总监通信集（Correspondence of the Directors of the French Academy in Rome with the Superintendents,Correspondence of the Directors of the French Academy in Rome with the Superintendents of Buildings,front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/montaiglon-academy-correspondence.md
units/archives/museum-studies-art-institute-chicago,archive,《芝加哥艺术博物馆研究》,Art Institute of Chicago Museum Studies,front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/museum-studies-art-institute-chicago.md
units/archives/negri-san-tommaso-letter-1676,archive,保罗·内格里致圣托马索侯爵的信（1676-12-24）,Letter from Paolo Negri to the Marquis of S. Tommaso (1676-12-24),,2026-09-09,2026-09-14,04-knowledge/units/archives/negri-san-tommaso-letter-1676.md
units/archives/novetti-ruffo-letter-1670,archive,弗朗切斯科·诺韦蒂致安东尼奥·鲁福的信（1670-03-22）,Letter from Francesco Novetti to Antonio Ruffo (1670-03-22),,2026-09-09,2026-09-14,04-knowledge/units/archives/novetti-ruffo-letter-1670.md
units/archives/pascoli-trevisani-life-ms1383,archive,帕斯科利《特雷维萨尼传》手稿（MS.1383）,Pascoli’s Manuscript Life of Francesco Trevisani (MS.1383),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/pascoli-trevisani-life-ms1383.md
units/archives/pastor-popes-english-vol33,archive,帕斯托教皇史英文版第三十三卷,"Pastor's history of the popes, English edition, volume XXXIII",front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/pastor-popes-english-vol33.md
units/archives/patrons-and-painters,archive,《赞助人与画家》,Patrons and Painters,,2026-09-09,2026-09-15,04-knowledge/units/archives/patrons-and-painters.md
units/archives/poerson-letter-1708,archive,夏尔-弗朗索瓦·普瓦松致德安坦信,"Charles-François Poerson to M. d’Antin, 20 October 1708",front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/poerson-letter-1708.md
units/archives/quarisimini-carrara-letter-1696,archive,卡洛·夸里斯米尼致文图拉·卡拉拉伯爵的信（1696-07-11）,Letter from Carlo Quarismini to Count Ventura Carrara (1696-07-11),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/quarisimini-carrara-letter-1696.md
units/archives/ricci-bologna-terms-1682,archive,里奇《施洗者约翰斩首》的委托条款（1682）,Terms for Ricci's Beheading of Saint John the Baptist (1682),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/ricci-bologna-terms-1682.md
units/archives/roland-michel-chardin-1994,archive,夏尔丹（罗兰-米歇尔1994年专著）,"Chardin (Roland-Michel, 1994)",front-matter,2026-09-15,2026-09-15,04-knowledge/units/archives/roland-michel-chardin-1994.md
units/archives/rosa-ruffo-letter-1666,archive,萨尔瓦多·罗萨致安东尼奥·鲁福的信（1666-04-01）,Letter from Salvator Rosa to Antonio Ruffo (1666-04-01),,2026-09-09,2026-09-14,04-knowledge/units/archives/rosa-ruffo-letter-1666.md
units/archives/salviati-medici-letter-1662,archive,雅各布·萨尔维亚蒂致莱奥波尔多·德·美第奇的信（1662-07-22）,Letter from Jacopo Salviati to Leopoldo de’ Medici (1662-07-22),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/salviati-medici-letter-1662.md
units/archives/savini-gubbio-terms-1608,archive,萨维尼在古比奥的委托条款刊录（1608）,Published Terms for Savini's Gubbio Commission (1608),chp-1,2026-09-09,2026-09-14,04-knowledge/units/archives/savini-gubbio-terms-1608.md
units/archives/testi-fontana-bernini-letter,archive,富尔维奥·泰斯蒂致弗朗切斯科·丰塔纳的信,Letter from Fulvio Testi to Francesco Fontana,,2026-09-09,2026-09-14,04-knowledge/units/archives/testi-fontana-bernini-letter.md
units/archives/testi-fontana-letter-1634-01-18,archive,富尔维奥·泰斯蒂致弗朗切斯科·丰塔纳伯爵的信,Letter from Fulvio Testi to Count Francesco Fontana,chp-1,2026-09-25,2026-09-25,04-knowledge/units/archives/testi-fontana-letter-1634-01-18.md
units/archives/torcellan-andrea-memmo-1963,archive,18世纪威尼斯人物：安德烈亚·梅莫,An Eighteenth-Century Venetian Figure: Andrea Memmo,front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/torcellan-andrea-memmo-1963.md
units/archives/us-copyright-law,archive,美国版权法,U.S. Copyright Law,front-matter,2026-09-14,2026-09-15,04-knowledge/units/archives/us-copyright-law.md
units/archives/vasalli-testimony-mola-pamfili,archive,瓦萨利关于莫拉与潘菲利服务争议的证词记录,Vasalli's Testimony on the Mola–Pamfili Service Dispute,,2026-09-09,2026-09-14,04-knowledge/units/archives/vasalli-testimony-mola-pamfili.md
units/archives/waterhouse-rome-painting-1971,archive,十八世纪罗马绘画,Painting in Rome in the Eighteenth Century,,,,04-knowledge/units/archives/waterhouse-rome-painting-1971.md
units/events/accademia-tax-privilege-1633,event,圣路加学院征税及公共委托措施（1633）,Taxation and Public-Commission Measures of the Accademia di S. Luca (1633),,2026-09-09,2026-09-14,04-knowledge/units/events/accademia-tax-privilege-1633.md
units/events/guercino-iconography-query-1665,event,圭尔奇诺西西里祭坛画图像询问（1665）,Guercino's Questions about a Sicilian Altarpiece (1665),,2026-09-09,2026-09-25,04-knowledge/units/events/guercino-iconography-query-1665.md
units/events/lanfranco-leo-attila-request-1640,event,兰弗兰科申请《教皇利奥与阿提拉》委托（1640）,Lanfranco's Request for the Pope Leo and Attila Commission (1640),,2026-09-09,2026-09-14,04-knowledge/units/events/lanfranco-leo-attila-request-1640.md
units/events/sacchi-household-promotion-1640,event,萨基在巴贝里尼家户内晋级（1640）,Sacchi's Promotion in the Barberini Household (1640),,2026-09-09,2026-09-14,04-knowledge/units/events/sacchi-household-promotion-1640.md
units/events/san-clemente-redecoration,event,圣克莱孟堂重新装饰,Redecoration of S. Clemente,front-matter,2026-09-14,2026-09-14,04-knowledge/units/events/san-clemente-redecoration.md
units/events/schildersbent-formation-1623,event,画家帮成立（1623）,Formation of the Schildersbent (1623),,2026-09-09,2026-09-14,04-knowledge/units/events/schildersbent-formation-1623.md
units/events/titian-honours-1533,event,查理五世授提香荣衔（1533）,Charles V's Grant of Honours to Titian (1533),chp-1,2026-09-09,2026-09-14,04-knowledge/units/events/titian-honours-1533.md
units/families/aldobrandini-family,family,阿尔多布兰迪尼家族,Aldobrandini Family,,2026-09-09,2026-09-14,04-knowledge/units/families/aldobrandini-family.md
units/families/borghese-family,family,博尔盖塞家族,Borghese Family,,2026-09-09,2026-09-14,04-knowledge/units/families/borghese-family.md
units/families/colonna-family,family,科隆纳家族,Colonna Family,chp-1,2026-09-13,2026-09-14,04-knowledge/units/families/colonna-family.md
units/families/odescalchi-family,family,奥德斯卡尔基家族,Odescalchi Family,chp-1,2026-09-13,2026-09-14,04-knowledge/units/families/odescalchi-family.md
units/families/pamphili-family,family,潘菲利家族,Pamphili family,chp-1,2026-09-25,2026-09-25,04-knowledge/units/families/pamphili-family.md
units/families/pisani-di-santo-stefano,family,圣斯德望支系皮萨尼家族,Pisani di Santo Stefano family,chp-1,2026-09-25,2026-09-25,04-knowledge/units/families/pisani-di-santo-stefano.md
units/families/peretti-family,family,佩雷蒂家族,Peretti Family,,2026-09-09,2026-09-14,04-knowledge/units/families/peretti-family.md
units/families/pisani-family,family,皮萨尼家族,Pisani family,front-matter,2026-09-14,2026-09-14,04-knowledge/units/families/pisani-family.md
units/families/rezzonico-family,family,雷佐尼科家族,Rezzonico family,front-matter,2026-09-14,2026-09-14,04-knowledge/units/families/rezzonico-family.md
units/families/sacchetti-family,family,萨凯蒂家族,Sacchetti Family,front-matter,2026-09-14,2026-09-14,04-knowledge/units/families/sacchetti-family.md
units/institutions/a-villani-e-figli,institution,A. 维拉尼父子摄影公司,A. Villani e Figli,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/a-villani-e-figli.md
units/institutions/academie-francaise,institution,法兰西学院,Académie française,front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/academie-francaise.md
units/institutions/accademia-degli-agiati,institution,阿贾蒂学会,Accademia degli Agiati,front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/accademia-degli-agiati.md
units/institutions/accademia-di-san-luca,institution,圣路加学院,Accademia di S. Luca,,2026-09-09,2026-09-14,04-knowledge/units/institutions/accademia-di-san-luca.md
units/institutions/agraci,institution,阿格拉西摄影商号,Agraci — Arts Graphiques de la Cité,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/agraci.md
units/institutions/alte-pinakothek,institution,老绘画陈列馆,Alte Pinakothek,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/alte-pinakothek.md
units/institutions/american-academy-of-arts-and-sciences,institution,美国艺术与科学院,American Academy of Arts and Sciences,front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/american-academy-of-arts-and-sciences.md
units/institutions/apostolic-chamber,institution,宗座财务院,Apostolic Chamber,chp-1,2026-09-09,2026-09-14,04-knowledge/units/institutions/apostolic-chamber.md
units/institutions/arcadia,institution,阿尔卡迪亚学会,Society of Arcadia,chp-1,2026-09-09,2026-09-14,04-knowledge/units/institutions/arcadia.md
units/institutions/art-institute-of-chicago,institution,芝加哥艺术博物馆,Art Institute of Chicago,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/art-institute-of-chicago.md
units/institutions/barberini-household,institution,巴贝里尼家族及家户,Barberini Family and Households,,2026-09-09,2026-09-14,04-knowledge/units/institutions/barberini-household.md
units/institutions/barnabites,institution,巴尔纳伯会,Barnabites,chp-1,2026-09-09,2026-09-14,04-knowledge/units/institutions/barnabites.md
units/institutions/bayerischen-staatsgemaldesammlungen,institution,巴伐利亚国家绘画收藏机构,Bavarian State Painting Collections,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/bayerischen-staatsgemaldesammlungen.md
units/institutions/biblioteca-augusta,institution,奥古斯塔图书馆,Biblioteca Augusta,chp-1,2026-09-09,2026-09-14,04-knowledge/units/institutions/biblioteca-augusta.md
units/institutions/biblioteca-casanatense,institution,卡萨纳滕塞图书馆,Biblioteca Casanatense,,2026-09-09,2026-09-14,04-knowledge/units/institutions/biblioteca-casanatense.md
units/institutions/bibliotheque-nationale,institution,法国国家图书馆,National Library of France,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/bibliotheque-nationale.md
units/institutions/british-academy,institution,英国国家学术院,British Academy,front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/british-academy.md
units/institutions/british-museum,institution,大英博物馆,British Museum,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/british-museum.md
units/institutions/ca-foscari-university-venice,institution,威尼斯卡福斯卡里大学,Ca’ Foscari University of Venice,front-matter,2026-09-14,2026-09-15,04-knowledge/units/institutions/ca-foscari-university-venice.md
units/institutions/cini-institute-of-art-history,institution,基奥尔乔·奇尼基金会艺术史研究所,"Institute of Art History, Fondazione Giorgio Cini",front-matter,2026-09-25,2026-09-25,04-knowledge/units/institutions/cini-institute-of-art-history.md
units/institutions/capitoline-museums,institution,卡比托利欧博物馆,Capitoline Museums,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/capitoline-museums.md
units/institutions/capuchins,institution,嘉布遣会,Capuchins,,2026-09-09,2026-09-14,04-knowledge/units/institutions/capuchins.md
units/institutions/charavay-freres,institution,沙拉韦兄弟书商,Charavay Frères,front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/charavay-freres.md
units/institutions/chatto-and-windus,institution,查托与温达斯出版社,Chatto and Windus,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/chatto-and-windus.md
units/institutions/city-of-paris,institution,巴黎市政当局,City of Paris,front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/city-of-paris.md
units/institutions/clark-art-institute,institution,克拉克艺术研究所,Clark Art Institute,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/clark-art-institute.md
units/institutions/colnaghi,institution,科尔纳吉画廊,Colnaghi's,front-matter,2026-09-09,2026-09-15,04-knowledge/units/institutions/colnaghi.md
units/institutions/columbia-university,institution,哥伦比亚大学,Columbia University,front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/columbia-university.md
units/institutions/confraternita-san-giovanni-battista-decollato-bologna,institution,博洛尼亚佛罗伦萨人圣若翰善会,"Confraternity of Saint John of the Florentines, Bologna",chp-1,2026-09-09,2026-09-14,04-knowledge/units/institutions/confraternita-san-giovanni-battista-decollato-bologna.md
units/institutions/confraternity-santanna-palafrenieri,institution,圣安娜教皇马夫善会,Confraternity of Sant'Anna dei Palafrenieri,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/confraternity-santanna-palafrenieri.md
units/institutions/correr-library,institution,科雷尔图书馆,Correr Library,front-matter,2026-09-14,2026-09-15,04-knowledge/units/institutions/correr-library.md
units/institutions/courtauld-institute-of-art,institution,考陶尔德艺术学院,Courtauld Institute of Art,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/courtauld-institute-of-art.md
units/institutions/detroit-institute-of-arts,institution,底特律艺术学院,Detroit Institute of Arts,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/detroit-institute-of-arts.md
units/institutions/dusseldorf-electoral-picture-gallery,institution,杜塞尔多夫选侯画廊,Düsseldorf Electoral Picture Gallery,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/dusseldorf-electoral-picture-gallery.md
units/institutions/fabbrica-di-san-pietro,institution,圣彼得营造管理机构,Fabbrica di S. Pietro,chp-1,2026-09-09,2026-09-14,04-knowledge/units/institutions/fabbrica-di-san-pietro.md
units/institutions/finnish-institute,institution,罗马芬兰研究所,Finnish Institute in Rome,front-matter,2026-09-14,2026-09-15,04-knowledge/units/institutions/finnish-institute.md
units/institutions/fitzwilliam-museum,institution,菲茨威廉博物馆,Fitzwilliam Museum,front-matter,2026-09-14,2026-09-15,04-knowledge/units/institutions/fitzwilliam-museum.md
units/institutions/french-academy-in-rome,institution,罗马法国学院,French Academy in Rome,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/french-academy-in-rome.md
units/institutions/gabinetto-dei-disegni-castello-sforzesco,institution,斯福尔扎城堡素描室,"Gabinetto dei Disegni, Castello Sforzesco",front-matter,2026-09-14,2026-09-15,04-knowledge/units/institutions/gabinetto-dei-disegni-castello-sforzesco.md
units/institutions/gabinetto-fotografico-nazionale,institution,国家摄影室,Gabinetto Fotografico Nazionale,front-matter,2026-09-14,2026-09-15,04-knowledge/units/institutions/gabinetto-fotografico-nazionale.md
units/institutions/galleria-borghese,institution,博尔盖塞美术馆,Galleria Borghese,front-matter,2026-09-13,2026-09-14,04-knowledge/units/institutions/galleria-borghese.md
units/institutions/galleria-doria-pamphilj,institution,多利亚·潘菲利美术馆,Galleria Doria Pamphilj,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/galleria-doria-pamphilj.md
units/institutions/galleria-nazionale-arte-antica,institution,国立古代艺术美术馆,Galleria Nazionale d'Arte Antica,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/galleria-nazionale-arte-antica.md
units/institutions/galleria-palatina,institution,帕拉蒂纳画廊,Galleria Palatina,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/galleria-palatina.md
units/institutions/galleria-spada,institution,斯帕达美术馆,Galleria Spada,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/galleria-spada.md
units/institutions/gallerie-ditalia,institution,意大利画廊,Gallerie d'Italia,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/gallerie-ditalia.md
units/institutions/gemaeldegalerie-berlin,institution,柏林绘画馆,Gemäldegalerie Berlin,front-matter,2026-09-13,2026-09-14,04-knowledge/units/institutions/gemaeldegalerie-berlin.md
units/institutions/gubbio-civic-magistracy,institution,古比奥市政共同体,Gubbio civic magistracy,chp-1,2026-09-25,2026-09-25,04-knowledge/units/institutions/gubbio-civic-magistracy.md
units/institutions/gymnasium-zu-grauen-kloster,institution,柏林灰修道院中学,Berlinisches Gymnasium zum Grauen Kloster,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/gymnasium-zu-grauen-kloster.md
units/institutions/hazan,institution,阿赞出版社,Hazan,front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/hazan.md
units/institutions/heritage-malta,institution,马耳他遗产局,Heritage Malta,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/heritage-malta.md
units/institutions/hermitage-museum,institution,艾尔米塔什博物馆,Hermitage Museum,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/hermitage-museum.md
units/institutions/istituto-centrale-per-il-catalogo-e-la-documentazione,institution,中央编目与文献研究所,Istituto Centrale per il Catalogo e la Documentazione,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/istituto-centrale-per-il-catalogo-e-la-documentazione.md
units/institutions/istituto-della-enciclopedia-italiana,institution,意大利百科全书研究院,Istituto della Enciclopedia Italiana,front-matter,2026-09-14,2026-09-14,04-knowledge/units/institutions/istituto-della-enciclopedia-italiana.md
units/institutions/istituto-per-la-collaborazione-culturale,institution,文化合作研究所,Istituto per la collaborazione culturale,front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/istituto-per-la-collaborazione-culturale.md
units/institutions/jesuits,institution,耶稣会,Jesuits,,2026-09-09,2026-09-14,04-knowledge/units/institutions/jesuits.md
units/institutions/kegan-paul-trench-trubner,institution,基根·保罗、特伦奇、特吕布纳出版公司,"Kegan Paul, Trench, Trubner & Co., Ltd.",front-matter,2026-09-15,2026-09-15,04-knowledge/units/institutions/kegan-paul-trench-trubner.md
units/institutions/kimbell-art-museum,institution,金贝尔艺术博物馆,Kimbell Art Museum,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/kimbell-art-museum.md
units/institutions/kings-college-cambridge,institution,剑桥国王学院,"King's College, Cambridge",,,,04-knowledge/units/institutions/kings-college-cambridge.md
units/institutions/knights-hospitaller,institution,医院骑士团／马耳他骑士团,Knights Hospitaller,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/knights-hospitaller.md
units/institutions/kunsthistorisches-museum,institution,维也纳艺术史博物馆,Kunsthistorisches Museum,chp-1,2026-09-13,2026-09-14,04-knowledge/units/institutions/kunsthistorisches-museum.md
units/institutions/kunstsammlungen-kassel,institution,卡塞尔艺术收藏机构,"Kunstsammlungen, Kassel",front-matter,2026-09-14,2026-09-15,04-knowledge/units/institutions/kunstsammlungen-kassel.md
