ku_id,type,canonical_name,name_en,source_task
units/archives/coke-arundell-letter-1620,archive,托马斯·科克致托马斯·霍华德，阿伦德尔伯爵信（1620年10月8日）,"Letter from Thomas Coke to Thomas Howard, Earl of Arundel, 8 October 1620",
units/archives/colnaghi-catalogue-1961,archive,科尔纳吉图录（1961 年 5–6 月，第 2 号）,"Colnaghi Catalogue (May–June 1961, no. 2)",chp-1
units/archives/conforti-legros-designers-1977,archive,皮埃尔·勒格罗与晚期巴洛克罗马雕塑家的设计师角色,Pierre Legros and the role of Sculptors as Designers in late Baroque Rome,front-matter
units/archives/de-rosis-ruffo-letter-1663,archive,朱塞佩·德·罗西斯致安东尼奥·鲁福的信（1663-09-22）,Letter from Giuseppe de Rosis to Antonio Ruffo (1663-09-22),chp-1
units/archives/dizionario-biografico-degli-italiani,archive,意大利人传记辞典,Dizionario biografico degli Italiani,
units/archives/ferri-ruffo-letter-1672,archive,奇罗·费里致安东尼奥·鲁福的信（1672-09-19）,Letter from Ciro Ferri to Antonio Ruffo (1672-09-19),
units/archives/gavasetti-piacenza-contract-1624,archive,加瓦塞蒂皮亚琴察壁画委托条款（1624）,Terms for Gavasetti's Piacenza Frescoes (1624),chp-1
units/archives/gerusalemme-liberata-illustrations-1745,archive,《耶路撒冷解放》插图本（1745）,"Jerusalem Delivered, illustrated edition, 1745",front-matter
units/archives/gessi-leopardi-letter-1647,archive,贝尔林杰罗·杰西致切萨雷·莱奥帕尔迪·多西莫的信（1647-07-10）,Letter from Berlingero Gessi to Don Cesare Leopardi d’Osimo (1647-07-10),chp-1
units/archives/gilmartin-san-clemente-1974,archive,克勉十一世为罗马圣克莱孟圣殿委托的绘画,The Paintings Commissioned by Pope Clement XI for the Basilica of San Clemente in Rome,
units/archives/gini-cortona-letter-1666,archive,奥诺拉托·吉尼关于科尔托纳选题的信（1666）,Onorato Gini’s Letter on Cortona’s Choice of Subjects (1666),chp-1
units/archives/giovanni-adamo-piola-letter-1690,archive,列支敦士登亲王约翰·亚当·安德烈亚斯致保罗·吉罗拉莫·皮奥拉的委托信（1690-02-03）,Commission Letter from Johann Adam Andreas of Liechtenstein to Paolo Girolamo Piola (1690-02-03),chp-1
units/archives/goldoni-opere-vol-2-1761,archive,戈尔多尼《喜剧集》第二卷（帕斯夸利版，标年1761）,"The Comedies of Carlo Goldoni, vol. 2, Pasquali edition, dated 1761",front-matter
units/archives/grassi-cortona-bozzetti-1957,archive,格拉西关于科尔托纳与多利亚潘菲利宫画廊草稿的论文（1957）,Grassi's Article on Cortona and the Bozzetti for the Doria Pamphili Gallery (1957),chp-1
units/archives/guercino-ruffo-letter-1649,archive,圭尔奇诺致安东尼奥·鲁福的信（1649-09-25）,Letter from Guercino to Antonio Ruffo (1649-09-25),chp-1
units/archives/harris-andrea-sacchi-1977,archive,安德烈亚·萨基,"Andrea Sacchi, Harris 1977",front-matter
units/archives/honour-patrons-painters-review-1963,archive,休·昂纳1963年评论赞助人与画家的书评,Hugh Honour's 1963 review of Patrons and Painters,front-matter
units/archives/lanfranco-barberini-letter-1640,archive,乔万尼·兰弗兰科致巴贝里尼枢机的信（1640-07-14）,Letter from Giovanni Lanfranco to Cardinal Barberini (1640-07-14),
units/archives/lhoggidi-1627,archive,《当今》（1627）,L'Hoggidi (1627),chp-1
units/archives/minnitti-augusta-terms-1617,archive,明尼蒂在奥古斯塔的委托条款刊录（1617）,Published Terms for Minnitti's Augusta Commission (1617),chp-1
units/archives/mola-borrowed-genealogy-gods,archive,莫拉借阅的神谱书（题名未明）,Genealogy of the Gods Borrowed by Mola (title unidentified),chp-1
units/archives/mola-borrowed-virgil-commentary,archive,莫拉借阅的维吉尔注释本（版本未明）,Annotated Virgil Borrowed by Mola (edition unidentified),chp-1
units/archives/mola-pamfili-contract-1657,archive,莫拉与潘菲利瓦尔蒙托内工程的合同条款（1657）,Contract Terms for Mola and Pamfili's Valmontone Project (1657),chp-1
units/archives/montaiglon-academy-correspondence,archive,罗马法国学院主管与王室建筑总监通信集（Correspondence of the Directors of the French Academy in Rome with the Superintendents,Correspondence of the Directors of the French Academy in Rome with the Superintendents of Buildings,front-matter
units/archives/museum-studies-art-institute-chicago,archive,《芝加哥艺术博物馆研究》,Art Institute of Chicago Museum Studies,front-matter
units/archives/negri-san-tommaso-letter-1676,archive,保罗·内格里致圣托马索侯爵的信（1676-12-24）,Letter from Paolo Negri to the Marquis of S. Tommaso (1676-12-24),
units/archives/novetti-ruffo-letter-1670,archive,弗朗切斯科·诺韦蒂致安东尼奥·鲁福的信（1670-03-22）,Letter from Francesco Novetti to Antonio Ruffo (1670-03-22),
units/archives/pascoli-trevisani-life-ms1383,archive,帕斯科利《特雷维萨尼传》手稿（MS.1383）,Pascoli’s Manuscript Life of Francesco Trevisani (MS.1383),chp-1
units/archives/pastor-popes-english-vol33,archive,帕斯托教皇史英文版第三十三卷,"Pastor's history of the popes, English edition, volume XXXIII",front-matter
units/archives/patrons-and-painters,archive,《赞助人与画家》,Patrons and Painters,
units/archives/poerson-letter-1708,archive,夏尔-弗朗索瓦·普瓦松致德安坦信,"Charles-François Poerson to M. d’Antin, 20 October 1708",front-matter
units/archives/quarisimini-carrara-letter-1696,archive,卡洛·夸里斯米尼致文图拉·卡拉拉伯爵的信（1696-07-11）,Letter from Carlo Quarismini to Count Ventura Carrara (1696-07-11),chp-1
units/archives/ricci-bologna-terms-1682,archive,里奇《施洗者约翰斩首》的委托条款（1682）,Terms for Ricci's Beheading of Saint John the Baptist (1682),chp-1
units/archives/roland-michel-chardin-1994,archive,夏尔丹（罗兰-米歇尔1994年专著）,"Chardin (Roland-Michel, 1994)",front-matter
units/archives/rosa-ruffo-letter-1666,archive,萨尔瓦多·罗萨致安东尼奥·鲁福的信（1666-04-01）,Letter from Salvator Rosa to Antonio Ruffo (1666-04-01),
units/archives/salviati-medici-letter-1662,archive,雅各布·萨尔维亚蒂致莱奥波尔多·德·美第奇的信（1662-07-22）,Letter from Jacopo Salviati to Leopoldo de’ Medici (1662-07-22),chp-1
units/archives/savini-gubbio-terms-1608,archive,萨维尼在古比奥的委托条款刊录（1608）,Published Terms for Savini's Gubbio Commission (1608),chp-1
units/archives/testi-fontana-bernini-letter,archive,富尔维奥·泰斯蒂致弗朗切斯科·丰塔纳的信,Letter from Fulvio Testi to Francesco Fontana,
units/archives/testi-fontana-letter-1634-01-18,archive,富尔维奥·泰斯蒂致弗朗切斯科·丰塔纳伯爵的信,Letter from Fulvio Testi to Count Francesco Fontana,chp-1
units/archives/torcellan-andrea-memmo-1963,archive,18世纪威尼斯人物：安德烈亚·梅莫,An Eighteenth-Century Venetian Figure: Andrea Memmo,front-matter
units/archives/us-copyright-law,archive,美国版权法,U.S. Copyright Law,front-matter
units/archives/vasalli-testimony-mola-pamfili,archive,瓦萨利关于莫拉与潘菲利服务争议的证词记录,Vasalli's Testimony on the Mola–Pamfili Service Dispute,
units/archives/waterhouse-rome-painting-1971,archive,十八世纪罗马绘画,Painting in Rome in the Eighteenth Century,
units/events/accademia-tax-privilege-1633,event,圣路加学院征税及公共委托措施（1633）,Taxation and Public-Commission Measures of the Accademia di S. Luca (1633),
units/events/guercino-iconography-query-1665,event,圭尔奇诺西西里祭坛画图像询问（1665）,Guercino's Questions about a Sicilian Altarpiece (1665),
units/events/lanfranco-leo-attila-request-1640,event,兰弗兰科申请《教皇利奥与阿提拉》委托（1640）,Lanfranco's Request for the Pope Leo and Attila Commission (1640),
units/events/sacchi-household-promotion-1640,event,萨基在巴贝里尼家户内晋级（1640）,Sacchi's Promotion in the Barberini Household (1640),
units/events/san-clemente-redecoration,event,圣克莱孟堂重新装饰,Redecoration of S. Clemente,front-matter
units/events/schildersbent-formation-1623,event,画家帮成立（1623）,Formation of the Schildersbent (1623),
units/events/titian-honours-1533,event,查理五世授提香荣衔（1533）,Charles V's Grant of Honours to Titian (1533),chp-1
units/families/aldobrandini-family,family,阿尔多布兰迪尼家族,Aldobrandini Family,
units/families/borghese-family,family,博尔盖塞家族,Borghese Family,
units/families/colonna-family,family,科隆纳家族,Colonna Family,chp-1
units/families/odescalchi-family,family,奥德斯卡尔基家族,Odescalchi Family,chp-1
units/families/pamphili-family,family,潘菲利家族,Pamphili family,chp-1
units/families/pisani-di-santo-stefano,family,圣斯德望支系皮萨尼家族,Pisani di Santo Stefano family,chp-1
units/families/peretti-family,family,佩雷蒂家族,Peretti Family,
units/families/pisani-family,family,皮萨尼家族,Pisani family,front-matter
units/families/rezzonico-family,family,雷佐尼科家族,Rezzonico family,front-matter
units/families/sacchetti-family,family,萨凯蒂家族,Sacchetti Family,front-matter
units/institutions/a-villani-e-figli,institution,A. 维拉尼父子摄影公司,A. Villani e Figli,front-matter
units/institutions/academie-francaise,institution,法兰西学院,Académie française,front-matter
units/institutions/accademia-degli-agiati,institution,阿贾蒂学会,Accademia degli Agiati,front-matter
units/institutions/accademia-di-san-luca,institution,圣路加学院,Accademia di S. Luca,
units/institutions/agraci,institution,阿格拉西摄影商号,Agraci — Arts Graphiques de la Cité,front-matter
units/institutions/alte-pinakothek,institution,老绘画陈列馆,Alte Pinakothek,front-matter
units/institutions/american-academy-of-arts-and-sciences,institution,美国艺术与科学院,American Academy of Arts and Sciences,front-matter
units/institutions/apostolic-chamber,institution,宗座财务院,Apostolic Chamber,chp-1
units/institutions/arcadia,institution,阿尔卡迪亚学会,Society of Arcadia,chp-1
units/institutions/art-institute-of-chicago,institution,芝加哥艺术博物馆,Art Institute of Chicago,front-matter
units/institutions/barberini-household,institution,巴贝里尼家族及家户,Barberini Family and Households,
units/institutions/barnabites,institution,巴尔纳伯会,Barnabites,chp-1
units/institutions/bayerischen-staatsgemaldesammlungen,institution,巴伐利亚国家绘画收藏机构,Bavarian State Painting Collections,front-matter
units/institutions/biblioteca-augusta,institution,奥古斯塔图书馆,Biblioteca Augusta,chp-1
units/institutions/biblioteca-casanatense,institution,卡萨纳滕塞图书馆,Biblioteca Casanatense,
units/institutions/bibliotheque-nationale,institution,法国国家图书馆,National Library of France,front-matter
units/institutions/british-academy,institution,英国国家学术院,British Academy,front-matter
units/institutions/british-museum,institution,大英博物馆,British Museum,front-matter
units/institutions/ca-foscari-university-venice,institution,威尼斯卡福斯卡里大学,Ca’ Foscari University of Venice,front-matter
units/institutions/cini-institute-of-art-history,institution,基奥尔乔·奇尼基金会艺术史研究所,"Institute of Art History, Fondazione Giorgio Cini",front-matter
units/institutions/capitoline-museums,institution,卡比托利欧博物馆,Capitoline Museums,chp-1
units/institutions/capuchins,institution,嘉布遣会,Capuchins,
units/institutions/charavay-freres,institution,沙拉韦兄弟书商,Charavay Frères,front-matter
units/institutions/chatto-and-windus,institution,查托与温达斯出版社,Chatto and Windus,front-matter
units/institutions/city-of-paris,institution,巴黎市政当局,City of Paris,front-matter
units/institutions/clark-art-institute,institution,克拉克艺术研究所,Clark Art Institute,front-matter
units/institutions/colnaghi,institution,科尔纳吉画廊,Colnaghi's,front-matter
units/institutions/columbia-university,institution,哥伦比亚大学,Columbia University,front-matter
units/institutions/confraternita-san-giovanni-battista-decollato-bologna,institution,博洛尼亚佛罗伦萨人圣若翰善会,"Confraternity of Saint John of the Florentines, Bologna",chp-1
units/institutions/confraternity-santanna-palafrenieri,institution,圣安娜教皇马夫善会,Confraternity of Sant'Anna dei Palafrenieri,chp-1
units/institutions/correr-library,institution,科雷尔图书馆,Correr Library,front-matter
units/institutions/courtauld-institute-of-art,institution,考陶尔德艺术学院,Courtauld Institute of Art,front-matter
units/institutions/detroit-institute-of-arts,institution,底特律艺术学院,Detroit Institute of Arts,chp-1
units/institutions/dusseldorf-electoral-picture-gallery,institution,杜塞尔多夫选侯画廊,Düsseldorf Electoral Picture Gallery,front-matter
units/institutions/fabbrica-di-san-pietro,institution,圣彼得营造管理机构,Fabbrica di S. Pietro,chp-1
units/institutions/finnish-institute,institution,罗马芬兰研究所,Finnish Institute in Rome,front-matter
units/institutions/fitzwilliam-museum,institution,菲茨威廉博物馆,Fitzwilliam Museum,front-matter
units/institutions/french-academy-in-rome,institution,罗马法国学院,French Academy in Rome,front-matter
units/institutions/gabinetto-dei-disegni-castello-sforzesco,institution,斯福尔扎城堡素描室,"Gabinetto dei Disegni, Castello Sforzesco",front-matter
units/institutions/gabinetto-fotografico-nazionale,institution,国家摄影室,Gabinetto Fotografico Nazionale,front-matter
units/institutions/galleria-borghese,institution,博尔盖塞美术馆,Galleria Borghese,front-matter
units/institutions/galleria-doria-pamphilj,institution,多利亚·潘菲利美术馆,Galleria Doria Pamphilj,chp-1
units/institutions/galleria-nazionale-arte-antica,institution,国立古代艺术美术馆,Galleria Nazionale d'Arte Antica,chp-1
units/institutions/galleria-palatina,institution,帕拉蒂纳画廊,Galleria Palatina,front-matter
units/institutions/galleria-spada,institution,斯帕达美术馆,Galleria Spada,front-matter
units/institutions/gallerie-ditalia,institution,意大利画廊,Gallerie d'Italia,chp-1
units/institutions/gemaeldegalerie-berlin,institution,柏林绘画馆,Gemäldegalerie Berlin,front-matter
units/institutions/gubbio-civic-magistracy,institution,古比奥市政共同体,Gubbio civic magistracy,chp-1
units/institutions/gymnasium-zu-grauen-kloster,institution,柏林灰修道院中学,Berlinisches Gymnasium zum Grauen Kloster,front-matter
units/institutions/hazan,institution,阿赞出版社,Hazan,front-matter
units/institutions/heritage-malta,institution,马耳他遗产局,Heritage Malta,chp-1
units/institutions/hermitage-museum,institution,艾尔米塔什博物馆,Hermitage Museum,chp-1
units/institutions/istituto-centrale-per-il-catalogo-e-la-documentazione,institution,中央编目与文献研究所,Istituto Centrale per il Catalogo e la Documentazione,front-matter
units/institutions/istituto-della-enciclopedia-italiana,institution,意大利百科全书研究院,Istituto della Enciclopedia Italiana,front-matter
units/institutions/istituto-per-la-collaborazione-culturale,institution,文化合作研究所,Istituto per la collaborazione culturale,front-matter
units/institutions/jesuits,institution,耶稣会,Jesuits,
units/institutions/kegan-paul-trench-trubner,institution,基根·保罗、特伦奇、特吕布纳出版公司,"Kegan Paul, Trench, Trubner & Co., Ltd.",front-matter
units/institutions/kimbell-art-museum,institution,金贝尔艺术博物馆,Kimbell Art Museum,chp-1
units/institutions/kings-college-cambridge,institution,剑桥国王学院,"King's College, Cambridge",
units/institutions/knights-hospitaller,institution,医院骑士团／马耳他骑士团,Knights Hospitaller,chp-1
units/institutions/kunsthistorisches-museum,institution,维也纳艺术史博物馆,Kunsthistorisches Museum,chp-1
units/institutions/kunstsammlungen-kassel,institution,卡塞尔艺术收藏机构,"Kunstsammlungen, Kassel",front-matter
units/institutions/library-of-congress,institution,美国国会图书馆,Library of Congress,front-matter
units/institutions/louvre-museum,institution,卢浮宫博物馆,Louvre Museum,chp-1
units/institutions/marlborough-fine-art-ltd,institution,马尔伯勒美术公司,Marlborough Fine Art Ltd,front-matter
units/institutions/mascardi-rome,institution,罗马马斯卡尔迪出版机构,Mascardi (Rome),front-matter
units/institutions/metropolitan-museum-of-art,institution,大都会艺术博物馆,Metropolitan Museum of Art,chp-1
units/institutions/ministry-of-works,institution,英国工程部,Ministry of Works,front-matter
units/institutions/musee-cognacq-jay,institution,科涅克—杰博物馆,Musée Cognacq-Jay,front-matter
units/institutions/musei-civici-veneziani,institution,威尼斯市立博物馆系统,Musei civici veneziani,front-matter
units/institutions/museo-correr,institution,科雷尔博物馆,Museo Correr,front-matter
units/institutions/museo-del-prado,institution,普拉多国家博物馆,Museo del Prado,chp-1
units/institutions/museo-di-capodimonte,institution,卡波迪蒙特博物馆,Museo di Capodimonte,front-matter
units/institutions/museum-boymansvan-beuningen,institution,博伊曼斯—范伯宁恩博物馆,Museum Boijmans Van Beuningen,front-matter
units/institutions/museum-of-fine-arts-houston,institution,休斯敦美术馆,"The Museum of Fine Arts, Houston",front-matter
units/institutions/museum-schloss-wilhelmshoehe,institution,威廉高地宫博物馆,Museum Schloss Wilhelmshöhe,front-matter
units/institutions/national-art-collections-fund,institution,国家艺术收藏基金,National Art Collections Fund,front-matter
units/institutions/national-gallery-london,institution,英国国家美术馆,National Gallery,chp-1
units/institutions/national-gallery-of-ireland,institution,爱尔兰国家美术馆,National Gallery of Ireland,chp-1
units/institutions/national-gallery-of-scotland,institution,苏格兰国家美术馆,Scottish National Gallery,front-matter
units/institutions/national-gallery-of-victoria,institution,维多利亚国家美术馆,National Gallery of Victoria,front-matter
units/institutions/national-museum-stockholm,institution,斯德哥尔摩国家博物馆,Nationalmuseum,front-matter
units/institutions/national-portrait-gallery,institution,伦敦国家肖像馆,"National Portrait Gallery, London",front-matter
units/institutions/national-trust,institution,英国国民信托,National Trust,front-matter
units/institutions/north-carolina-museum-of-art,institution,北卡罗来纳艺术博物馆,North Carolina Museum of Art,front-matter
units/institutions/odesa-museum-western-eastern-art,institution,敖德萨西方与东方艺术博物馆,Odesa Museum of Western and Eastern Art,chp-1
units/institutions/oratorians,institution,奥拉托利会,Oratorians,
units/institutions/osvaldo-bohm-photographic-publisher,institution,奥斯瓦尔德·伯姆摄影商号,Ditta Osvaldo Böhm,front-matter
units/institutions/phaidon,institution,费顿出版社,Phaidon,front-matter
units/institutions/pinacoteca-ambrosiana,institution,安布罗西亚纳画廊,Pinacoteca Ambrosiana,chp-1
units/institutions/pinacoteca-capitolina,institution,卡比托利欧绘画馆,Pinacoteca Capitolina,front-matter
units/institutions/pinacoteca-vaticana,institution,梵蒂冈绘画馆,Pinacoteca Vaticana,chp-1
units/institutions/pio-monte-della-misericordia,institution,仁慈山会,Pio Monte della Misericordia,chp-1
units/institutions/princeton-university-art-museum,institution,普林斯顿大学艺术博物馆,Princeton University Art Museum,front-matter
units/institutions/princeton-university,institution,普林斯顿大学,Princeton University,front-matter
units/institutions/regional-museum-messina,institution,墨西拿区域博物馆,Regional Museum of Messina,chp-1
units/institutions/republic-of-venice,institution,威尼斯共和国,Republic of Venice,front-matter
units/institutions/royal-academy,institution,皇家艺术研究院,Royal Academy of Arts,front-matter
units/institutions/royal-collection,institution,英国皇家收藏,Royal Collection,chp-1
units/institutions/royal-collections-gallery,institution,西班牙皇家收藏美术馆,Royal Collections Gallery,chp-1
units/institutions/samuel-h-kress-foundation,institution,塞缪尔·H. 克雷斯基金会,Samuel H. Kress Foundation,front-matter
units/institutions/sanssouci-picture-gallery,institution,无忧宫画廊,Sanssouci Picture Gallery,chp-1
units/institutions/schildersbent,institution,画家帮,Schildersbent,
units/institutions/service-de-documentation-photographique-des-musees-nationaux,institution,法国国家博物馆摄影文献服务处,Service de Documentation Photographique des Musées Nationaux,front-matter
units/institutions/sir-john-soanes-museum,institution,约翰·索恩爵士博物馆,Sir John Soane’s Museum,front-matter
units/institutions/soprintendenza-alle-gallerie-florence,institution,佛罗伦萨美术馆监管机构,"Soprintendenza alle Gallerie, Florence",front-matter
units/institutions/staatsgalerie-stuttgart,institution,斯图加特州立美术馆,"Staatsgalerie, Stuttgart",front-matter
units/institutions/stearn-and-son,institution,斯特恩父子摄影商号,Stearn & Sons,front-matter
units/institutions/stichting-museum-boijmans-van-beuningen,institution,博伊曼斯—范伯宁恩博物馆基金会,Stichting Museum Boijmans Van Beuningen,front-matter
units/institutions/streitsche-stiftung,institution,施特赖特基金会,Streitsche Stiftung,front-matter
units/institutions/studio-fotografico-balelli,institution,巴莱利摄影工作室,Studio fotografico Balelli,front-matter
units/institutions/t-and-a-constable,institution,T.与A.康斯特布尔印刷公司,T. and A. Constable Ltd.,front-matter
units/institutions/theatines,institution,戴蒂尼会,Theatines,chp-1
units/institutions/thyssen-bornemisza-museum,institution,提森-博内米萨国家博物馆,Thyssen-Bornemisza Museum,chp-1
units/institutions/turners-of-cambridge,institution,剑桥特纳摄影商号,Turners of Cambridge,front-matter
units/institutions/ufficio-dell-assessore-comunale-alle-belle-arti,institution,罗马市美术委员办公室,Ufficio dell'Assessore Comunale alle Belle Arti,front-matter
units/institutions/uffizi-gallery,institution,乌菲齐美术馆,Uffizi Gallery,
units/institutions/university-library-cambridge,institution,剑桥大学图书馆,Cambridge University Library,front-matter
units/institutions/university-of-cambridge,institution,剑桥大学,University of Cambridge,front-matter
units/institutions/university-of-london,institution,伦敦大学,University of London,front-matter
units/institutions/university-of-padua,institution,帕多瓦大学,University of Padua,front-matter
units/institutions/university-of-pittsburgh,institution,匹兹堡大学,University of Pittsburgh,front-matter
units/institutions/university-of-turin,institution,都灵大学,University of Turin,front-matter
units/institutions/victoria-and-albert-museum,institution,维多利亚与阿尔伯特博物馆,Victoria and Albert Museum,chp-1
units/institutions/virginia-museum-of-fine-arts,institution,弗吉尼亚美术馆,Virginia Museum of Fine Arts,front-matter
units/institutions/wadsworth-atheneum,institution,沃兹沃思学会艺术博物馆,Wadsworth Atheneum Museum of Art,chp-1
units/institutions/wallraf-richartz-museum,institution,瓦尔拉夫—里夏茨博物馆,Wallraf-Richartz Museum,front-matter
units/institutions/warburg-institute-library,institution,瓦尔堡研究院图书馆,Library of the Warburg Institute,front-matter
units/institutions/warburg-institute,institution,瓦尔堡研究院,Warburg Institute,front-matter
units/institutions/yale-university-press,institution,耶鲁大学出版社,Yale University Press,front-matter
units/institutions/yale-university,institution,耶鲁大学,Yale University,front-matter
units/persons/a-d-gabbiani,person,安东·多梅尼科·加比亚尼,Anton Domenico Gabbiani,front-matter
units/persons/a-de-montaiglon,person,阿纳托尔·库尔德·德·蒙泰格隆,Anatole Courde de Montaiglon,front-matter
units/persons/a-m-zanetti-the-elder,person,老安东·玛丽亚·扎内蒂,Anton Maria Zanetti the Elder,front-matter
units/persons/a-n-l-munby,person,艾伦·诺埃尔·拉蒂默·芒比,Alan Noel Latimer Munby,front-matter
units/persons/abate-lancellotti,person,塞孔多·兰切洛蒂,Secondo Lancellotti,chp-1
units/persons/abraham-hume,person,亚伯拉罕·休谟,Abraham Hume,front-matter
units/persons/agostino-masucci,person,阿戈斯蒂诺·马苏奇,Agostino Masucci,front-matter
units/persons/albrizzi,person,乔万尼·巴蒂斯塔·阿尔布里齐,Giovanni Battista Albrizzi,front-matter
units/persons/alessandro-bettagno,person,亚历山德罗·贝塔尼奥,Alessandro Bettagno,
units/persons/alessandro-longhi,person,亚历山德罗·隆吉,Alessandro Longhi,front-matter
units/persons/alessandro-marabottini-marabotti,person,亚历山德罗·马拉博蒂尼·马拉博蒂,Alessandro Marabottini Marabotti,front-matter
units/persons/alessandro-peretti-montalto,person,亚历山德罗·佩雷蒂—蒙塔尔托,Alessandro Peretti-Montalto,
units/persons/alessandro-vasalli,person,亚历山德罗·瓦萨利,Alessandro Vasalli,chp-1
units/persons/alexander-vii,person,亚历山大七世,Alexander VII,front-matter
units/persons/alof-de-wignacourt,person,阿洛夫·德·维尼亚库尔,Alof de Wignacourt,chp-1
units/persons/amadeo-swajer,person,阿马德奥·斯瓦耶尔,Amadeo Swajer,front-matter
units/persons/ameyden,person,迪尔克·范·阿梅登,Dirk van Ameyden,
units/persons/amigoni,person,雅各布·阿米戈尼,Jacopo Amigoni,front-matter
units/persons/andrea-camassei,person,安德烈亚·卡马塞伊,Andrea Camassei,
units/persons/andrea-memmo,person,安德烈亚·梅莫,Andrea Memmo,front-matter
units/persons/andrea-pozzo,person,安德烈亚·波佐,Andrea Pozzo,
units/persons/andrea-procaccini,person,安德烈亚·普罗卡奇尼,Andrea Procaccini,
units/persons/andrea-sacchi,person,安德烈亚·萨基,Andrea Sacchi,
units/persons/angela-mizzina,person,安杰拉·米齐纳,Angela Mizzina,front-matter
units/persons/angelica-galante,person,安杰莉卡·加兰特,Angelica Galante,chp-1
units/persons/ann-sutherland-harris,person,安·萨瑟兰·哈里斯,Ann Sutherland Harris,front-matter
units/persons/annibale-bentivoglio,person,安尼巴莱·本蒂沃利奥,Annibale Bentivoglio,front-matter
units/persons/annibale-carracci,person,安尼巴莱·卡拉奇,Annibale Carracci,
units/persons/annibale-laparelli,person,安尼巴莱·拉帕雷利,Annibale Laparelli,chp-1
units/persons/anthony-blunt,person,安东尼·弗雷德里克·布伦特,Anthony Frederick Blunt,front-matter
units/persons/anthony-clark,person,安东尼·莫里斯·克拉克,Anthony Morris Clark,front-matter
units/persons/antonio-barberini,person,安东尼奥·巴贝里尼,Antonio Barberini,
units/persons/antonio-draghi,person,安东尼奥·德拉吉,Antonio Draghi,front-matter
units/persons/antonio-ruffo,person,安东尼奥·鲁福,Don Antonio Ruffo,
units/persons/antonio-verrio,person,安东尼奥·韦里奥,Antonio Verrio,front-matter
units/persons/archbishop-tillotson,person,约翰·蒂洛特森,John Tillotson,front-matter
units/persons/aristotle,person,亚里士多德,Aristotle,front-matter
units/persons/artemisia-gentileschi,person,阿尔泰米西娅·真蒂莱斯基,Artemisia Gentileschi,
units/persons/b-nazari,person,巴托洛梅奥·纳扎里,Bartolomeo Nazari,front-matter
units/persons/baldassare-franceschini,person,巴尔达萨雷·弗兰切斯基尼,Baldassarre Franceschini,front-matter
units/persons/baldassare-longhena,person,巴尔达萨雷·隆盖纳,Baldassare Longhena,front-matter
units/persons/bartolozzi,person,弗朗切斯科·巴尔托洛齐,Francesco Bartolozzi,front-matter
units/persons/benedetto-luti,person,贝内代托·卢蒂,Benedetto Luti,
units/persons/benedict-nicolson,person,莱昂内尔·本尼迪克特·尼科尔森,Lionel Benedict Nicolson,front-matter
units/persons/benvenuto-cellini,person,本韦努托·切利尼,Benvenuto Cellini,chp-1
units/persons/berlingete-gessi,person,贝尔林杰罗·杰西,Berlingero Gessi,chp-1
units/persons/bernardino-castelli,person,贝尔纳迪诺·卡斯泰利,Bernardino Castelli,front-matter
