mention_id,segment_id,candidate_id,surface_form,start_char,end_char,note
m-chp1-seci-0037,chp-1:01_CHP-1_sec_i:l15-24,cand-3114,Italians,1692,1700,表面形式 Italy；候选映射按本段语境裁决。
m-chp1-seci-0038,chp-1:01_CHP-1_sec_i:l15-24,cand-3104,Cardinal Maffeo Barberini,1896,1921,表面形式 Maffeo Barberini；候选映射按本段语境裁决。
m-chp1-seci-0040,chp-1:01_CHP-1_sec_i:l15-24,cand-3104,Urban VIII,200,210,表面形式 Urban VIII；候选映射按本段语境裁决。
m-chp1-seci-0041,chp-1:01_CHP-1_sec_i:l15-24,cand-3397,Florence,2003,2011,表面形式 Florence；候选映射按本段语境裁决。
m-chp1-seci-0042,chp-1:01_CHP-1_sec_i:l15-24,cand-3061,Cardinal Ludovisi,2189,2206,表面形式 Gregory XV；候选映射按本段语境裁决。
m-chp1-seci-0043,chp-1:01_CHP-1_sec_i:l15-24,cand-3024,Domenichino,2225,2236,表面形式 Domenichino；候选映射按本段语境裁决。
m-chp1-seci-0044,chp-1:01_CHP-1_sec_i:l15-24,cand-3398,Bologna,2283,2290,表面形式 Bologna；候选映射按本段语境裁决。
m-chp1-seci-0045,chp-1:01_CHP-1_sec_i:l15-24,cand-3398,Bologna,2650,2657,表面形式 Bologna；候选映射按本段语境裁决。
m-chp1-seci-0046,chp-1:01_CHP-1_sec_i:l15-24,cand-3011,Cardinal Borghese,2312,2329,表面形式 Cardinal Borghese；候选映射按本段语境裁决。
m-chp1-seci-0047,chp-1:01_CHP-1_sec_i:l15-24,cand-3061,new Pope,2382,2390,表面形式 the new Pope；候选映射按本段语境裁决。
m-chp1-seci-0048,chp-1:01_CHP-1_sec_i:l15-24,cand-3073,the Pope’s nephew Ludovico,2523,2549,表面形式 Ludovico Ludovisi；候选映射按本段语境裁决。
m-chp1-seci-0049,chp-1:01_CHP-1_sec_i:l15-24,cand-2999,"Annibale
Carracci",2627,2644,表面形式 Annibale Carracci；候选映射按本段语境裁决。
m-chp1-seci-0050,chp-1:01_CHP-1_sec_i:l15-24,cand-3399,Vatican,2502,2509,表面形式 Vatican；候选映射按本段语境裁决。
m-chp1-seci-0051,chp-1:01_CHP-1_sec_i:l15-24,cand-3400,Church,967,973,表面形式 the Church；候选映射按本段语境裁决。
m-chp1-seci-0052,chp-1:01_CHP-1_sec_i:l15-24,cand-3061,Pope,799,803,Cardinal Ludovisi elected Pope，指 Gregory XV 的职位转换。
m-chp1-seci-0053,chp-1:01_CHP-1_sec_i:l15-24,cand-1734,nepotism,897,905,索引候选 Nepotism in Rome；此处指教皇亲族在教会辖区建立私人权势的历史机制。
m-chp1-seci-0054,chp-1:01_CHP-1_sec_i:l26-33,cand-3398,Bolognese,9,18,Bologna/demonym
m-chp1-seci-0055,chp-1:01_CHP-1_sec_i:l26-33,cand-3398,Bolognese,1127,1136,Bologna/demonym
m-chp1-seci-0056,chp-1:01_CHP-1_sec_i:l26-33,cand-3176,titular church,74,88,titular church
m-chp1-seci-0057,chp-1:01_CHP-1_sec_i:l26-33,cand-3176,titular church,1590,1604,titular church
m-chp1-seci-0058,chp-1:01_CHP-1_sec_i:l26-33,cand-3176,titular church,2895,2909,titular church
m-chp1-seci-0059,chp-1:01_CHP-1_sec_i:l26-33,cand-2976,Aldôbrandini,1040,1052,Aldobrandini family; OCR surface retained
m-chp1-seci-0060,chp-1:01_CHP-1_sec_i:l26-33,cand-2987,Peretti,1054,1061,Peretti family
m-chp1-seci-0061,chp-1:01_CHP-1_sec_i:l26-33,cand-2983,Borghese,1063,1071,Borghese family
m-chp1-seci-0062,chp-1:01_CHP-1_sec_i:l26-33,cand-3126,Rome,967,971,Rome
m-chp1-seci-0063,chp-1:01_CHP-1_sec_i:l26-33,cand-3126,Rome,2005,2009,Rome
m-chp1-seci-0064,chp-1:01_CHP-1_sec_i:l26-33,cand-3126,Rome,2314,2318,Rome
m-chp1-seci-0065,chp-1:01_CHP-1_sec_i:l26-33,cand-3135,St Peter’s,1215,1225,St Peter’s Basilica
m-chp1-seci-0066,chp-1:01_CHP-1_sec_i:l26-33,cand-3131,S. Maria Maggiore,1878,1895,Santa Maria Maggiore
m-chp1-seci-0067,chp-1:01_CHP-1_sec_i:l26-33,cand-3132,"S. Maria sopra
Minerva",1900,1922,Santa Maria sopra Minerva
m-chp1-seci-0068,chp-1:01_CHP-1_sec_i:l26-33,cand-3406,Reformation,2182,2193,Reformation movement
m-chp1-seci-0069,chp-1:01_CHP-1_sec_i:l26-33,cand-3402,Oratorians,2198,2208,Oratorians
m-chp1-seci-0070,chp-1:01_CHP-1_sec_i:l26-33,cand-3403,Jesuits,2217,2224,Jesuits
m-chp1-seci-0071,chp-1:01_CHP-1_sec_i:l26-33,cand-3404,Theatines,2230,2239,Theatines
m-chp1-seci-0072,chp-1:01_CHP-1_sec_i:l26-33,cand-2980,Barnabites,2245,2255,Barnabites
m-chp1-seci-0073,chp-1:01_CHP-1_sec_i:l26-33,cand-3405,Capuchins,2264,2273,Capuchins
m-chp1-seci-0074,chp-1:01_CHP-1_sec_i:l26-33,cand-3397,Florentines,2324,2335,Florentines as Rome-based community by origin city
m-chp1-seci-0075,chp-1:01_CHP-1_sec_i:l26-33,cand-3407,Lombards,2341,2349,Lombards community in Rome; type pending
m-chp1-seci-0076,chp-1:01_CHP-1_sec_i:l26-33,cand-2992,Cardinal Alessandro Peretti-Montalto,3186,3222,Alessandro Peretti-Montalto
m-chp1-seci-0077,chp-1:01_CHP-1_sec_i:l26-33,cand-3129,S. Andrea della Valle,3284,3305,Sant’Andrea della Valle
m-chp1-seci-0078,chp-1:01_CHP-1_sec_i:l35-36,cand-3126,Rome,460,464,罗马；约1620年现代绘画与古老教堂的比较语境
m-chp1-seci-0079,chp-1:01_CHP-1_sec_i:l38-47,cand-0093,Ameyden,17,24,author cited in footnote 1; index subentry identifies the 1642 Relatione.
m-chp1-seci-0080,chp-1:01_CHP-1_sec_i:l38-47,cand-3408,Relatione della città di Roma,26,55,1642 manuscript named in footnote 1.
m-chp1-seci-0081,chp-1:01_CHP-1_sec_i:l38-47,cand-3409,Biblioteca Casanatense,74,96,Repository of MS. 5001.
m-chp1-seci-0082,chp-1:01_CHP-1_sec_i:l38-47,cand-3126,Rome,98,102,"Repository location, outside the work title."
m-chp1-seci-0083,chp-1:01_CHP-1_sec_i:l38-47,cand-3104,Urban VIII,145,155,Subject of Ameyden’s attributed account.
m-chp1-seci-0084,chp-1:01_CHP-1_sec_i:l38-47,cand-3410,Felici,442,448,Short author citation; identity unresolved.
m-chp1-seci-0085,chp-1:01_CHP-1_sec_i:l38-47,cand-1856,Passeri,460,467,"Short citation to Passeri, p. 27; ibid. continues this source."
m-chp1-seci-0086,chp-1:01_CHP-1_sec_i:l38-47,cand-3411,Panciroli,502,511,Author in citation chain for the Peretti-Montalto quotation.
m-chp1-seci-0087,chp-1:01_CHP-1_sec_i:l38-47,cand-3412,Ortolani,531,539,Intermediate quoting source in the citation chain.
m-chp1-seci-0088,chp-1:01_CHP-1_sec_i:l38-47,cand-1842,Pascoli,566,573,Short bibliographic citation.
m-chp1-seci-0089,chp-1:01_CHP-1_sec_i:l38-47,cand-1842,Pascoli,1384,1391,Short bibliographic citation.
m-chp1-seci-0090,chp-1:01_CHP-1_sec_i:l38-47,cand-3413,Montalto,623,631,Unresolved short citation; not mapped to the similarly named cardinal.
m-chp1-seci-0091,chp-1:01_CHP-1_sec_i:l38-47,cand-3414,Alessandro Vasalli,671,689,Witness identified in Haskell’s footnote.
m-chp1-seci-0092,chp-1:01_CHP-1_sec_i:l38-47,cand-1676,Mola,718,722,Pier Francesco Mola; source uses surname only.
m-chp1-seci-0093,chp-1:01_CHP-1_sec_i:l38-47,cand-1814,Prince Pamfili,753,767,Index entry for Camillo Pamfili includes this chapter footnote.
m-chp1-seci-0094,chp-1:01_CHP-1_sec_i:l38-47,cand-3415,Cardinal Pio,1404,1416,Cardinal’s first name and identity remain unresolved.
m-chp1-seci-0095,chp-1:01_CHP-1_sec_i:l38-47,cand-0385,Giovanni Bonari,1434,1449,"OCR spelling; the reviewed PDF reading is Bonati, Giovanni."
m-chp1-seci-0096,chp-1:01_CHP-1_sec_i:l38-47,cand-3397,Florence,1453,1461,Destination city.
m-chp1-seci-0097,chp-1:01_CHP-1_sec_i:l38-47,cand-3398,Bologna,1463,1470,Destination city.
m-chp1-seci-0098,chp-1:01_CHP-1_sec_i:l38-47,cand-3416,Modena,1472,1478,Destination city; no matching city candidate was present.
m-chp1-seci-0099,chp-1:01_CHP-1_sec_i:l38-47,cand-3417,Parma,1480,1485,Destination city; no matching city candidate was present.
m-chp1-seci-0100,chp-1:01_CHP-1_sec_i:l38-47,cand-3418,Milan,1487,1492,Destination city; no matching city candidate was present.
m-chp1-seci-0101,chp-1:01_CHP-1_sec_i:l38-47,cand-3401,Venice,1497,1503,One of two destination mentions in the travel notes.
m-chp1-seci-0102,chp-1:01_CHP-1_sec_i:l38-47,cand-3401,Venice,1571,1577,One of two destination mentions in the travel notes.
m-chp1-seci-0103,chp-1:01_CHP-1_sec_i:l38-47,cand-2263,Cardinal Rospigliosi,1523,1543,Chapter 6n index entry identifies Giulio Rospigliosi.
m-chp1-seci-0104,chp-1:01_CHP-1_sec_i:l38-47,cand-1169,Lodovico Gimignani,1549,1567,Painter sent to Venice in the cited account.
m-chp1-seci-0105,chp-1:01_CHP-1_sec_i:l38-47,cand-0167,Gio. Gasparo Baldoini,1600,1621,Appointment name retained as printed in OCR.
m-chp1-seci-0106,chp-1:01_CHP-1_sec_i:l38-47,cand-2387,Cardinal Maurizio di Savoia,1646,1673,Appointing cardinal; mapped to the matching index entry for 6n.
m-chp1-seci-0107,chp-1:01_CHP-1_sec_i:l38-47,cand-3419,Baudi di Vesme,1675,1689,Short bibliographic author citation; full identity unresolved.
m-chp1-intro-0108,chp-1:01_CHP-1_intro:l3-5,cand-3126,ROME,16,20,Geographic place named on the Part I title page.
m-chp1-intro-0109,chp-1:01_CHP-1_intro:l11-13,cand-1856,Passeri,17,24,"The split section file normalizes the full OCR reading “Passed”; footnote cites Passeri, p. 293."
m-chp1-intro-0110,chp-1:01_CHP-1_intro:l11-13,cand-0198,Barberini,124,133,The family as the political context named in the footnote.
m-chp1-intro-0111,chp-1:01_CHP-1_intro:l11-13,cand-1355,Abate Lancellotti,142,159,Author of L’Hoggidi; abbreviated bibliographic identity retained.
m-chp1-intro-0112,chp-1:01_CHP-1_intro:l11-13,cand-3420,L’Hoggidi,162,171,Named book; distinct from its author.
m-chp1-intro-0113,chp-1:01_CHP-1_intro:l11-13,cand-3401,Venice,191,197,Publication place.
m-chp1-intro-0114,chp-1:01_CHP-1_intro:l11-13,cand-3421,Letter from Mr Coke of 8 October 1620,229,266,Dated documentary source named in footnote 2.
m-chp1-intro-0115,chp-1:01_CHP-1_intro:l11-13,cand-3085,Mr Coke,241,248,Named letter writer; maps to the accepted candidate for the Rome correspondent.
m-chp1-intro-0116,chp-1:01_CHP-1_intro:l11-13,cand-3422,Hervey,267,273,Short citation only; full identity unresolved.
m-chp1-secii-0001,chp-1:01_CHP-1_sec_ii:l3-8,cand-3141,exhibited it,466,478,展出作品以寻找偶然买家，保留原文的市场语境。
m-chp1-secii-0002,chp-1:01_CHP-1_sec_ii:l3-8,cand-3149,dealers,607,614,本章关于市场中介的复数提及。
m-chp1-secii-0003,chp-1:01_CHP-1_sec_ii:l3-8,cand-3159,dilettantes,619,630,本章使用的历史角色称谓，映射到既有术语候选。
m-chp1-secii-0004,chp-1:01_CHP-1_sec_ii:l3-8,cand-3141,exhibitions,889,900,展览被说成失业者通常的最后手段，作者明确保留例外。
m-chp1-secii-0005,chp-1:01_CHP-1_sec_ii:l3-8,cand-3175,servitù particolare,1082,1101,意大利语专属服务制度术语。
m-chp1-secii-0006,chp-1:01_CHP-1_sec_ii:l3-8,cand-3417,Parma,1367,1372,赞助人资助的学习旅行目的地。
m-chp1-secii-0007,chp-1:01_CHP-1_sec_ii:l3-8,cand-0852,Correggio,1380,1389,此处指画家 Correggio；旅行目的是观看其壁画。
m-chp1-secii-0008,chp-1:01_CHP-1_sec_ii:l3-8,cand-3401,Venice,1407,1413,赞助人资助的学习旅行目的地。
m-chp1-secii-0009,chp-1:01_CHP-1_sec_ii:l3-8,cand-3160,famiglia,1548,1556,王侯家户语境，包含朝臣与官员，不按血缘家族理解。
m-chp1-secii-0010,chp-1:01_CHP-1_sec_ii:l3-8,cand-3171,nostro pittore,1720,1734,授予宫廷画家职位的意大利语称谓。
m-chp1-secii-0011,chp-1:01_CHP-1_sec_ii:l10-17,cand-2998,Andrea Sacchi,100,113,本章记述其1637–1640年在Antonio Barberini家户中的职务晋升。
m-chp1-secii-0012,chp-1:01_CHP-1_sec_ii:l10-17,cand-3001,Cardinal Antonio Barberini,128,154,Sacchi任职宫廷的雇主／家户主持人。
m-chp1-secii-0013,chp-1:01_CHP-1_sec_ii:l10-17,cand-3175,servitù particolare,1801,1820,此处OCR将servitù误识为“servi tit”；按既有语义阅读保留标准术语。
m-chp1-secii-0014,chp-1:01_CHP-1_sec_ii:l10-17,cand-3126,Rome,1665,1669,国家竞争与出生地影响特定服务机会的语境。
m-chp1-secii-0015,chp-1:01_CHP-1_sec_ii:l10-17,cand-3044,Passeri,1339,1346,Lanfranco早年受保护的引语来源；Haskell在此转述。
m-chp1-secii-0016,chp-1:01_CHP-1_sec_ii:l10-17,cand-3053,Giovanni Lanfranco,1384,1402,Passeri引语评论的画家对象。
m-chp1-secii-0017,chp-1:01_CHP-1_sec_ii:l10-17,cand-3074,Marcello Sacchetti,1892,1910,与Pietro da Cortona同乡故事中的罗马赞助人。
m-chp1-secii-0018,chp-1:01_CHP-1_sec_ii:l10-17,cand-3096,Pietro da Cortona,1940,1957,被Sacchetti接待的画家；此处同时提及其出生地Cortona。
m-chp1-secii-0019,chp-1:01_CHP-1_sec_ii:l10-17,cand-3111,Cortona,1950,1957,Pietro出身地；与同名画家分开映射。
m-chp1-secii-0020,chp-1:01_CHP-1_sec_ii:l10-17,cand-3098,Cardinal Ottoboni,2164,2181,为Francesco Trevisani提供居所的枢机赞助人。
m-chp1-secii-0021,chp-1:01_CHP-1_sec_ii:l10-17,cand-3038,Francesco Trevisani,2229,2248,Ottoboni的威尼斯同乡画家。
m-chp1-secii-0022,chp-1:01_CHP-1_sec_ii:l10-17,cand-3126,Rome,2525,2529,本段中的地名提及。
m-chp1-secii-0023,chp-1:01_CHP-1_sec_ii:l19-26,cand-3139,contract,936,944,书面委托合同；是否订立取决于委托规模。
m-chp1-secii-0024,chp-1:01_CHP-1_sec_ii:l19-26,cand-3161,fresco,1359,1365,通用壁画类型；两处分别提及均保留。
m-chp1-secii-0025,chp-1:01_CHP-1_sec_ii:l19-26,cand-3161,fresco,2896,2902,通用壁画类型；两处分别提及均保留。
m-chp1-secii-0026,chp-1:01_CHP-1_sec_ii:l19-26,cand-3148,altarpiece,1465,1475,祭坛画类别；此处指一般委托类型。
m-chp1-secii-0027,chp-1:01_CHP-1_sec_ii:l19-26,cand-3162,pictures for private galleries,1835,1865,私人画廊陈设绘画的通称，映射至画廊画术语候选。
m-chp1-secii-0028,chp-1:01_CHP-1_sec_ii:l19-26,cand-3172,pictures in pairs,2376,2393,成对委托绘画，对应既有成对绘画术语候选。
m-chp1-secii-0029,chp-1:01_CHP-1_sec_ii:l19-26,cand-3126,Rome,267,271,远方迁入、城市赞助与委托市场的地名提及。
m-chp1-secii-0030,chp-1:01_CHP-1_sec_ii:l19-26,cand-3126,Rome,486,490,远方迁入、城市赞助与委托市场的地名提及。
m-chp1-secii-0031,chp-1:01_CHP-1_sec_ii:l28-38,cand-1258,Guercino,672,680,Painter named in 1665 commission.
m-chp1-secii-0032,chp-1:01_CHP-1_sec_ii:l28-38,cand-3423,Sicily,735,741,Unnamed monastery location.
m-chp1-secii-0033,chp-1:01_CHP-1_sec_ii:l28-38,cand-3424,Madonna de Carmine,820,838,Iconographic figure in commission brief.
m-chp1-secii-0034,chp-1:01_CHP-1_sec_ii:l28-38,cand-3425,Child,848,853,Christ Child in brief.
m-chp1-secii-0035,chp-1:01_CHP-1_sec_ii:l28-38,cand-3426,St Teresa,867,876,Placement queried by Guercino.
m-chp1-secii-0036,chp-1:01_CHP-1_sec_ii:l28-38,cand-3427,Virgin,906,912,Virgin Mary in stated scene.
m-chp1-secii-0037,chp-1:01_CHP-1_sec_ii:l28-38,cand-3428,St Joseph,956,965,Iconographic figure listed in brief.
m-chp1-secii-0038,chp-1:01_CHP-1_sec_ii:l28-38,cand-3429,"St John the
Baptist",970,989,Full entity span across the source line break; preserve the line break in the original segment text.
m-chp1-secii-0039,chp-1:01_CHP-1_sec_ii:l28-38,cand-3430,Four Seasons,1807,1819,Generic secular theme.
m-chp1-secii-0040,chp-1:01_CHP-1_sec_ii:l28-38,cand-1814,Prince Pamfili,2055,2069,"Camillo Pamfili, existing index candidate."
m-chp1-secii-0041,chp-1:01_CHP-1_sec_ii:l28-38,cand-1676,Pier Francesco Mola,2098,2117,Painter of the Four Elements commission.
m-chp1-secii-0042,chp-1:01_CHP-1_sec_ii:l28-38,cand-1677,Four Elements,2131,2144,Work-specific index sub-entry; completion not established.
m-chp1-secii-0043,chp-1:01_CHP-1_sec_ii:l28-38,cand-3431,Valmontone,2169,2179,Country house location.
m-chp1-secii-0044,chp-1:01_CHP-1_sec_ii:l28-38,cand-2777,Virgil,2292,2298,Classical author; commentary volume unidentified.
m-chp1-secii-0045,chp-1:01_CHP-1_sec_ii:l28-38,cand-3432,Juno,2490,2494,Mythological figure in Air imagery.
m-chp1-secii-0046,chp-1:01_CHP-1_sec_ii:l28-38,cand-3433,Milky Way,2566,2575,Celestial motif.
m-chp1-secii-0047,chp-1:01_CHP-1_sec_ii:l28-38,cand-3434,Chloris,2589,2596,Mythological figure.
m-chp1-secii-0048,chp-1:01_CHP-1_sec_ii:l28-38,cand-3435,Zephyr,2600,2606,Mythological figure.
m-chp1-secii-0049,chp-1:01_CHP-1_sec_ii:l28-38,cand-3436,Ganymede,2620,2628,Mythological figure.
m-chp1-secii-0050,chp-1:01_CHP-1_sec_ii:l28-38,cand-3437,Turnus,2659,2665,Legendary figure.
m-chp1-secii-0051,chp-1:01_CHP-1_sec_ii:l40-46,cand-0209,Urban VIII,103,113,Pope Maffeo Barberini.
m-chp1-secii-0052,chp-1:01_CHP-1_sec_ii:l40-46,cand-3438,Sebastiano on the Palatine,177,203,"Church of S. Sebastiano on the Palatine; the initial “S.” is line-wrapped at the segment boundary, so the mention span uses the contiguous name and locator."
m-chp1-secii-0053,chp-1:01_CHP-1_sec_ii:l40-46,cand-3439,St Sebastian,235,247,Subject figure in altarpiece description.
m-chp1-secii-0054,chp-1:01_CHP-1_sec_ii:l28-38,cand-3425,Child,949,954,Repeated mention of the Christ Child receiving the Order’s rules.
m-chp1-secii-0055,chp-1:01_CHP-1_sec_ii:l28-38,cand-3426,St Teresa,1573,1582,Repeated query about the saint’s left/right placement.
m-chp1-secii-0056,chp-1:01_CHP-1_sec_ii:l28-38,cand-3440,his,2652,2655,The section transcription reads “his” here; the full-chapter OCR and PDF read “Iris” at OCR L319. Preserve the section-text form and record the correction to the mythological figure.
m-chp1-secii-0057,chp-1:01_CHP-1_sec_ii:l40-46,cand-2719,Venetian,568,576,Adjectival reference to Venice; general market-history claim.
m-chp1-secii-0058,chp-1:01_CHP-1_sec_ii:l40-46,cand-3126,Roman,650,655,Roman collecting; place-derived adjective.
m-chp1-secii-0059,chp-1:01_CHP-1_sec_ii:l40-46,cand-0544,Caravaggio,1314,1324,Artist whose rejected altarpiece was acquired by Giustiniani.
m-chp1-secii-0060,chp-1:01_CHP-1_sec_ii:l40-46,cand-3445,altarpiece by that artist,1339,1364,Unidentified specific work; title and intended location are not given.
m-chp1-secii-0061,chp-1:01_CHP-1_sec_ii:l40-46,cand-3441,Marchese Giustiniani,1212,1232,Identity retained as unresolved per process review.
m-chp1-secii-0062,chp-1:01_CHP-1_sec_ii:l40-46,cand-0016,Giovanni Adamo,1647,1661,Patron in the later commission example.
m-chp1-secii-0063,chp-1:01_CHP-1_sec_ii:l40-46,cand-1935,Paolo Girolamo Piola,1714,1734,Genoese painter commissioned by Adamo.
m-chp1-secii-0064,chp-1:01_CHP-1_sec_ii:l40-46,cand-3126,Rome,2926,2930,Location of the Roman collecting context and Spanish embassy.
m-chp1-secii-0065,chp-1:01_CHP-1_sec_ii:l40-46,cand-3442,Alexander the Great,2441,2460,Subject in the general royal-commission example.
m-chp1-secii-0066,chp-1:01_CHP-1_sec_ii:l40-46,cand-3443,Duke of Mantua,2626,2640,Identity unresolved by period in this passage.
m-chp1-secii-0067,chp-1:01_CHP-1_sec_ii:l40-46,cand-3444,Samson,2749,2755,Subject of the episodes ordered from the two Roman painters.
m-chp1-secii-0068,chp-1:01_CHP-1_sec_ii:l40-46,cand-0569,Marchese del Carpio,2878,2897,Spanish ambassador in Rome; full personal name unresolved.
m-chp1-secii-0069,chp-1:01_CHP-1_sec_ii:l48-60,cand-0342,Pietro da Cortona,140,157,Artist contrasted with Rosa.
m-chp1-secii-0070,chp-1:01_CHP-1_sec_ii:l48-60,cand-0342,Pietro,140,146,Short form in his quoted claim about never choosing subjects.
m-chp1-secii-0071,chp-1:01_CHP-1_sec_ii:l48-60,cand-2236,Salvator Rosa,162,175,Artist who rejected one client’s instructions but sought advice from friends.
m-chp1-secii-0072,chp-1:01_CHP-1_sec_ii:l48-60,cand-3446,Valentin,702,710,French genre painter; full identity remains unresolved in this passage.
m-chp1-secii-0073,chp-1:01_CHP-1_sec_ii:l48-60,cand-3447,a large picture,778,793,"Unnamed commission described by requested figures, not an identified completed work."
m-chp1-secii-0074,chp-1:01_CHP-1_sec_ii:l48-60,cand-3451,modello,1036,1043,Preliminary oil sketch as a control method.
m-chp1-secii-0075,chp-1:01_CHP-1_sec_ii:l48-60,cand-0544,Caravaggio,1200,1210,Artist in the 1600 commission example.
m-chp1-secii-0076,chp-1:01_CHP-1_sec_ii:l48-60,cand-0546,The Conversion of St Paul,1271,1296,Named altarpiece subject/work in the 1600 example.
m-chp1-secii-0077,chp-1:01_CHP-1_sec_ii:l48-60,cand-0550,The Martyrdom of St Peter,1301,1326,Named altarpiece subject/work in the 1600 example.
